2025-10-26 15:35:56,358 | INFO | golden_backtest | #0007 🎯 BUY @ $3369.50 | P&L: $-35.60 | Balance: $10002.00 | Reason: SL Hit
2025-10-26 15:35:56,626 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
2025-10-26 15:35:56,917 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:35:57,406 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:35:57,755 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:35:57,785 | INFO | golden_backtest | #0005 🎯 SELL @ $3300.77 | P&L: $-42.71 | Balance: $10073.38 | Reason: SL Hit
2025-10-26 15:35:58,207 | INFO | golden_backtest | #0006 🎯 BUY @ $3369.44 | P&L: $-35.01 | Balance: $10038.37 | Reason: SL Hit
2025-10-26 15:35:58,414 | INFO | golden_backtest | #0007 🎯 BUY @ $3351.99 | P&L: $-48.40 | Balance: $9989.97 | Reason: SL Hit
2025-10-26 15:35:58,687 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
2025-10-26 15:35:58,974 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:35:59,460 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:35:59,807 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:35:59,837 | INFO | golden_backtest | #0005 🎯 SELL @ $3300.77 | P&L: $-42.71 | Balance: $10073.38 | Reason: SL Hit
2025-10-26 15:36:00,267 | INFO | golden_backtest | #0006 🎯 BUY @ $3369.44 | P&L: $-35.01 | Balance: $10038.37 | Reason: SL Hit
2025-10-26 15:36:00,471 | INFO | golden_backtest | #0007 🎯 BUY @ $3351.99 | P&L: $-48.40 | Balance: $9989.97 | Reason: SL Hit
2025-10-26 15:36:00,745 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
